player,fullname,firstname,lastname,suffix,givenname,nickname,matrilineal
AARDD001,David Aardsma,David,Aardsma,,David Allan,,
AAROH101,Hank Aaron,Hank,Aaron,,Henry Louis,Hammer; Hammerin' Hank; Bad Henry,
AAROT101,Tommie Aaron,Tommie,Aaron,,Tommie Lee,,
AASED001,Don Aase,Don,Aase,,Donald William,,
ABADA001,Andy Abad,Andy,Abad,,Fausto Andres,,
ABADF001,Fernando Abad,Fernando,Abad,,Fernando Antonio,,
ABBOG001,Glenn Abbott,Glenn,Abbott,,William Glenn,,
ABBOJ001,Jim Abbott,Jim,Abbott,,James Anthony,,
ABBOJ002,Jeff Abbott,Jeff,Abbott,,Jeffrey William,,
ABBOK001,Kyle Abbott,Kyle,Abbott,,Lawrence Kyle,,
ABBOK002,Kurt Abbott,Kurt,Abbott,,Kurt Thomas,,
ABBOP001,Paul Abbott,Paul,Abbott,,Paul David,,
ABERB001,Brent Abernathy,Brent,Abernathy,,Michael Brent,,
ABERR001,Reggie Abercrombie,Reggie,Abercrombie,,Reginald Damascus,,
ABERT101,Ted Abernathy,Ted,Abernathy,,Theodore Wade,,
ABNES001,Shawn Abner,Shawn,Abner,,Shawn Wesley,,
ABREB001,Bobby Abreu,Bobby,Abreu,,Bob Kelly,,
ABREJ001,Johnny Abrego,Johnny,Abrego,,Johnny Ray,,
ABREJ002,Juan Abreu,Juan,Abreu,,Juan de Dios,,Reyes
ABREJ003,Jose Abreu,Jose,Abreu,,Jose Dariel,,Correa
ABRET001,Tony Abreu,Tony,Abreu,,Etanislao Toni,,
ABREW001,Winston Abreu,Winston,Abreu,,Winston Leonardo,,
ACCAJ001,Jeremy Accardo,Jeremy,Accardo,,Jeremiah Lee,,
ACEVA001,Alfredo Aceves,Alfredo,Aceves,,Alfredo,,
ACEVJ001,Juan Acevedo,Juan,Acevedo,,Juan Carlos,,
ACEVJ002,Jose Acevedo,Jose,Acevedo,,Jose Omar,,
ACHTA001,A. J. Achter,A. J.,Achter,,Adam Joseph,,
ACKEJ001,Jim Acker,Jim,Acker,,James Justin,,
ACKLD001,Dustin Ackley,Dustin,Ackley,,Dustin Michael,,
ACKLF101,Fritz Ackley,Fritz,Ackley,,Florian Frederick,,
ACOSC101,Cy Acosta,Cy,Acosta,,Cecilio,,Miranda
ACOSE101,Ed Acosta,Ed,Acosta,,Eduardo Elixbet,,Lopez
