year,team,player,salary
1964,BAL,APARL101,35000
1964,BAL,GAINJ101,8500
1964,BAL,HALLD101,15000
1964,BAL,JONES105,8500
1964,BAL,KIRKW101,15500
1964,BAL,LAU-C101,14000
1964,BAL,MILLS101,33000
1964,BAL,PINIL001,4500
1964,BAL,ROBIB104,35000
1964,BAL,ROWEK101,7000
1964,BAL,SIEBN101,31500
1964,BAL,STOCW101,13500
1964,BOS,CONIT101,17500
1964,BOS,STUAD101,41000
1964,BOS,YASTC101,30000
1964,CHA,ACKLF101,7500
1964,CHA,BAUMF102,17000
1964,CHA,BURGS101,28500
1964,CHA,CUNNJ101,34250
1964,CHA,HERBR101,26500
1964,CHA,HERSM101,16500
1964,CHA,MOSSD101,23000
1964,CHA,PETEG101,16000
1964,CHA,PIZAJ101,22000
1964,CHA,SMITC105,10000
1964,CHA,STEPG101,13500
1964,CHA,TALBF101,7500
1964,CHA,WARDP102,16000
1964,CHA,WILHH101,25000
1964,CHN,BANKE101,57500
1964,CHN,BROCL102,12000
1964,CHN,SLAUS101,5100
1964,CHN,WILLB104,27000
1964,CIN,ROBIF103,50000
1964,CIN,SKINB101,26500
1964,CIN,SMITH106,15000
1964,CIN,WORTA101,15000
1964,CLE,BELLG102,18500
1964,CLE,FRANT101,25000
1964,CLE,HELDW101,20000
1964,CLE,KINDJ101,16000
1964,CLE,MCMAD102,19000
1964,CLE,RAMOP101,21500
1964,CLE,ROMAJ101,27500
1964,CLE,SIEBS101,5000
1964,CLE,SIMSD101,6000
1964,CLE,SMITA102,33250
1964,CLE,STANL101,13500
1964,DET,CASHN101,27000
1964,DET,EGAND101,6000
1964,DET,FAULB101,8500
1964,DET,FREEB103,12000
1964,DET,KALIA101,56000
1964,DET,KOCHA101,7500
1964,DET,SHERL101,27500
1964,DET,SMITG101,5400
1964,KC1,COLAR101,50000
1964,KC1,EDWAD102,11000
1964,KC1,SHOEC101,5400
1964,KC1,WILLG101,8000
1964,LAA,BELIB101,15000
1964,LAA,BRUNG101,9000
1964,LAA,CHAND102,25000
1964,LAA,CLINL101,20000
1964,LAA,HIATJ101,6000
