year,team,player,salary
1985,ATL,BARKL001,870000
1985,ATL,BEDRS001,550000
1985,ATL,BENEB001,545000
1985,ATL,CAMPR001,633333
1985,ATL,CEROR001,625000
1985,ATL,CHAMC001,800000
1985,ATL,DEDMJ001,150000
1985,ATL,FORST001,483333
1985,ATL,GARBG001,772000
1985,ATL,HARPT001,250000
1985,ATL,HORNB001,1500000
1985,ATL,HUBBG001,455000
1985,ATL,MAHLR001,407500
1985,ATL,MCMUC001,275000
1985,ATL,MUMPJ001,775000
1985,ATL,MURPD001,1625000
1985,ATL,OBERK001,616667
1985,ATL,PEREP001,450000
1985,ATL,PERRG001,120000
1985,ATL,RAMIR001,750000
1985,ATL,SUTTB001,1354167
1985,ATL,WASHC001,800000
1985,BAL,BODDM001,625000
1985,BAL,DAUER001,480000
1985,BAL,DAVIS001,437500
1985,BAL,DEMPR001,512500
1985,BAL,DWYEJ001,375000
1985,BAL,FLANM001,641667
1985,BAL,FORDD001,450000
1985,BAL,GROSW001,483333
1985,BAL,LACYL001,725000
1985,BAL,LYNNF001,1090000
1985,BAL,MARTD001,560000
1985,BAL,MARTT001,440000
1985,BAL,MCGRS001,547143
1985,BAL,MURRE001,1472819
1985,BAL,NOLAJ001,341667
1985,BAL,RAYFF001,128500
1985,BAL,RIPKC001,800000
1985,BAL,ROENG001,558333
1985,BAL,SHEEL001,60000
1985,BAL,SHELJ001,130000
1985,BAL,STEWS001,581250
1985,BAL,YOUNM002,121000
1985,BOS,ARMAT001,915000
1985,BOS,BARRM001,272500
1985,BOS,BOGGW001,1000000
1985,BOS,BORDR001,115000
1985,BOS,BOYDO001,177500
1985,BOS,BUCKB001,747500
1985,BOS,CLEAM001,580000
1985,BOS,CLEMR001,140000
1985,BOS,CRAWS001,160000
1985,BOS,EASLM001,650000
1985,BOS,EVAND002,800000
1985,BOS,GEDMR001,477500
1985,BOS,GUTIJ001,130000
1985,BOS,HOFFG001,335000
1985,BOS,HURSB001,300000
1985,BOS,JURAE001,125000
1985,BOS,KISOB001,370000
1985,BOS,MILLR001,275000
1985,BOS,NICHR001,260000
1985,BOS,NIPPA001,165000
1985,BOS,OJEDB001,240000
1985,BOS,REMYJ001,483333
1985,BOS,RICEJ001,779227
1985,BOS,STANB001,1075000
1985,BOS,STAPD001,325000
1985,CAL,BENIJ001,365000
1985,CAL,BOONB001,883000
1985,CAL,BURLR001,856667
1985,CAL,CANDJ001,612500
1985,CAL,CARER001,875000
1985,CAL,CLIBS001,60000
1985,CAL,CORBD001,360000
1985,CAL,DECID001,1100000
1985,CAL,DOWNB001,808333
1985,CAL,FORSK001,633333
1985,CAL,GRICB001,700000
1985,CAL,HENDG001,737000
1985,CAL,HOLLA001,625000
1985,CAL,JACKR001,1058894
1985,CAL,JONER002,390000
1985,CAL,LACOF001,346667
1985,CAL,MCCAK001,60000
1985,CAL,MOORD001,407500
1985,CAL,PETTG001,125000
1985,CAL,ROMAR001,146500
1985,CAL,SANCL001,340000
1985,CAL,SCHOD001,120000
1985,CAL,SCOND001,130000
1985,CAL,SLATJ001,437500
1985,CAL,SUTTD001,750000
1985,CAL,WILFR001,266667
1985,CAL,WITTM001,683333
1985,CAL,ZAHNG001,550000
1985,CHA,AGOSJ001,147500
1985,CHA,BAINH001,675000
1985,CHA,BANNF001,811250
1985,CHA,BURNB001,727500
1985,CHA,CRUZJ002,1242333
1985,CHA,DOTSR001,900000
1985,CHA,FISKC001,685000
1985,CHA,FLETS001,165000
1985,CHA,GUILO001,60000
1985,CHA,HAIRJ001,150000
1985,CHA,HILLM001,200000
1985,CHA,JAMEB001,265000
1985,CHA,KITTR001,300000
1985,CHA,LAW-R001,565000
1985,CHA,LOLLT001,463000
1985,CHA,NELSG001,110000
1985,CHA,PACIT001,333333
1985,CHA,SALAL001,325000
1985,CHA,SEAVT001,1136262
1985,CHA,SPILD001,390000
1985,CHA,WALKG001,195000
1985,CHN,BOSLT001,215000
