fgid,player_name,position,first_year,last_year
1902,David Aardsma,P,2004,2015
1000001,Hank Aaron,OF,1954,1976
1000002,Tommie Aaron,1B/OF,1962,1971
1000003,Don Aase,P,1977,1990
4994,Fernando Abad,P,2010,2017
506,Andy Abad,1B,2001,2006
1000004,John Abadie,1B,1875,?
1000005,Ed Abbaticchio,2B/SS,1897,1910
1000006,Bert Abbey,P,1892,1896
1000007,Charlie Abbey,OF,1893,1897
1061,Paul Abbott,P,1990,2004
1000008,Dan Abbott,P,1890,1890
1000009,Fred Abbott,C,1903,1905
1000010,Glenn Abbott,P,1973,1984
1000011,Jeff Abbott,OF,1997,2001
1000012,Jim Abbott,P,1989,1999
1000013,Kurt Abbott,2B/SS,1993,2001
1000014,Kyle Abbott,P,1991,1996
1000015,Ody Abbott,OF,1910,1910
1000016,Al Aber,P,1950,1957
1000017,Francis Abercrombie,SS,1871,1871
2187,Reggie Abercrombie,OF,2006,2008
1000018,Bill Abernathie,P,1952,1952
1000019,Tal Abernathy,P,1942,1944
1000020,Ted Abernathy,P,1955,1972
1000021,Woody Abernathy,P,1946,1947
1192,Brent Abernathy,2B,2001,2005
1000022,Cliff Aberson,OF,1947,1949
1000023,Harry Ables,P,1905,1911
1000024,Shawn Abner,OF,1987,1992
1000025,Cal Abrams,OF,1949,1956
1000026,George Abrams,P,1923,1923
1000027,Johnny Abrego,P,1985,1985
15676,Jose Abreu,1B,2014,2018
582,Winston Abreu,P,2006,2009
1000028,Joe Abreu,2B/3B,1942,1942
6306,Juan Abreu,P,2011,2011
945,Bobby Abreu,OF,1996,2014
5053,Tony Abreu,2B/3B,2007,2014
1000029,Bill Abstein,1B,1906,1910
6428,Jeremy Accardo,P,2005,2012
307,Jose Acevedo,P,2001,2005
458,Juan Acevedo,P,1995,2003
5164,Alfredo Aceves,P,2008,2014
11387,A.J. Achter,P,2014,2016
1000030,Jim Acker,P,1983,1992
1000031,Tom Acker,P,1956,1959
1000032,Fritz Ackley,P,1963,1964
10099,Dustin Ackley,2B/OF,2011,2016
8725,Manny Acosta,P,2007,2012
1000033,Cy Acosta,P,1972,1975
1000034,Ed Acosta,P,1970,1972
1000035,Jose Acosta,P,1920,1922
1000036,Merito Acosta,OF,1913,1918
1000037,Mark Acre,P,1994,1997
18401,Ronald Acuna Jr.,OF,2018,2018
1000038,Jerry Adair,2B/SS,1958,1970
1000039,Jimmy Adair,SS,1931,1931
11861,Jason Adam,P,2018,2018
15986,Willy Adames,SS,2018,2018
6013,Cristhian Adames,SS,2014,2017
10767,Lane Adams,OF,2014,2018
1000040,Ace Adams,P,1941,1946
1000041,Babe Adams,P,1906,1926
1000042,Bert Adams,C,1910,1919
1000043,Bob Adams,P,1925,1925
1000044,Bob Adams,P,1931,1932
1000045,Bobby Adams,2B/3B,1946,1959
1000046,Bob Adams,C/1B,1977,1977
1000047,Buster Adams,OF,1939,1947
1000048,Dan Adams,P,1914,1915
1000049,Dick Adams,1B,1947,1947
1000050,Doug Adams,C,1969,1969
1000051,George Adams,1B/OF,1879,?
1000052,Glenn Adams,DH/OF,1975,1982
1000053,Herb Adams,OF,1948,1950
1000054,Jim Adams,C,1890,1890
1000055,Joe Adams,P,1902,1902
1000057,Karl Adams,P,1914,1915
1000059,Mike Adams,OF,1972,1978
1000060,Red Adams,P,1946,1946
1000061,Rick Adams,P,1905,1905
1000062,Ricky Adams,3B/SS,1982,1985
1000063,Sparky Adams,2B/3B,1922,1934
1000064,Spencer Adams,2B,1923,1927
1000065,Willie Adams,P,1912,1919
1000066,Willie Adams,P,1996,1997
1937,Mike Adams,P,2004,2014
4519,Russ Adams,SS,2004,2009
9393,Matt Adams,1B,2012,2018
946,Terry Adams,P,1995,2005
6343,Ryan Adams,2B,2011,2011
18135,Chance Adams,P,2018,2018
7389,David Adams,3B,2013,2013
13801,Austin Adams,P,2017,2018
7411,Austin Adams,P,2014,2016
1000056,Joel Adamson,P,1996,1998
1000058,Mike Adamson,P,1967,1969
1000067,Joe Adcock,1B,1950,1966
3282,Nate Adcock,P,2011,2015
1000068,Bob Addis,OF,1950,1953
6448,Jim Adduci,1B/OF,2013,2018
1000069,Jim Adduci,1B/OF,1983,1989
1000070,Bob Addy,2B/OF,1871,?
6879,Nick Adenhart,P,2008,2009
1000071,Morrie Aderholt,OF,1939,1945
1799,Jon Adkins,P,2003,2008
1000072,Dewey Adkins,P,1942,1949
1000073,Dick Adkins,SS,1942,1942
1000074,Doc Adkins,P,1902,1903
1000075,Grady Adkins,P,1928,1929
1000077,Steve Adkins,P,1990,1990
1000076,Henry Adkinson,OF,1895,1895
10968,Tim Adleman,P,2016,2017
1000078,Dave Adlesh,C,1963,1968
