year,retro_id,lahman_id,bbr_id,city,team,name
1964,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1964,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1964,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1964,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1964,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1964,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1964,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1964,HOU,HOU,HOU,Houston,Astros,Houston Colt .45's
1964,KC1,KC1,KCA,Kansas City,Athletics,Kansas City Athletics
1964,LAA,LAA,LAA,Los Angeles,Angels,Los Angeles Angels
1964,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1964,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1964,MLN,ML1,MLN,Milwaukee,Braves,Milwaukee Braves
1964,NYA,NYA,NYY,New York,Yankees,New York Yankees
1964,NYN,NYN,NYM,New York,Mets,New York Mets
1964,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1964,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1964,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1964,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1964,WS2,WS2,WSA,Washington,Senators,Washington Senators
1965,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1965,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1965,CAL,CAL,CAL,California,Angels,California Angels
1965,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1965,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1965,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1965,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1965,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1965,HOU,HOU,HOU,Houston,Astros,Houston Astros
1965,KC1,KC1,KCA,Kansas City,Athletics,Kansas City Athletics
1965,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1965,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1965,MLN,ML1,MLN,Milwaukee,Braves,Milwaukee Braves
1965,NYA,NYA,NYY,New York,Yankees,New York Yankees
1965,NYN,NYN,NYM,New York,Mets,New York Mets
1965,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1965,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1965,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1965,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
