year,team,player
1964,BAL,ADAIJ101
1964,BAL,APARL101
1964,BAL,BARBS102
1964,BAL,BERTF101
1964,BAL,BLAIP101
1964,BAL,BOWES103
1964,BAL,BRANJ101
1964,BAL,BROWD102
1964,BAL,BUNKW101
1964,BAL,CIMOG101
1964,BAL,ESTRC101
1964,BAL,GAINJ101
1964,BAL,GREEL101
1964,BAL,HADDH101
1964,BAL,HALLD101
1964,BAL,JACKL101
1964,BAL,JOHNB104
1964,BAL,JONES105
1964,BAL,KIRKW101
1964,BAL,LAU-C101
1964,BAL,MCCOM103
1964,BAL,MCNAD102
1964,BAL,MILLS101
1964,BAL,ORSIJ101
1964,BAL,PAPPM101
1964,BAL,PINIL001
1964,BAL,POWEB101
1964,BAL,ROBER102
1964,BAL,ROBIB104
1964,BAL,ROBIE102
1964,BAL,ROWEK101
1964,BAL,SAVEB101
1964,BAL,SIEBN101
1964,BAL,SNYDR102
1964,BAL,STARH101
1964,BAL,STOCW101
1964,BAL,VINED101
1964,BOS,BRESE101
1964,BOS,CHARP101
1964,BOS,CLINL101
1964,BOS,CONIT101
1964,BOS,CONNE102
1964,BOS,EARLA101
1964,BOS,GEIGG101
1964,BOS,GRAYD103
1964,BOS,GUINB103
1964,BOS,HEFFB101
1964,BOS,HORTT101
1964,BOS,JONED102
1964,BOS,LAMAJ101
1964,BOS,MALZF101
1964,BOS,MANTF101
1964,BOS,MEJIR101
1964,BOS,MONBB101
1964,BOS,MORED103
1964,BOS,NIXOR101
1964,BOS,RADAD101
1964,BOS,RITCJ101
1964,BOS,RYANM101
1964,BOS,SCHIC101
1964,BOS,SMITA102
1964,BOS,SPANB101
1964,BOS,STUAD101
1964,BOS,THOML103
1964,BOS,TILLB101
1964,BOS,WILLD104
1964,BOS,WILSE102
1964,BOS,WOODW103
1964,BOS,YASTC101
1964,CHA,ACKLF101
1964,CHA,BAUMF102
1964,CHA,BERRK101
1964,CHA,BUFOD101
1964,CHA,BURGS101
1964,CHA,BUZHJ101
1964,CHA,CARRC104
1964,CHA,CUNNJ101
1964,CHA,FISHE102
1964,CHA,HANSR102
1964,CHA,HERBR101
1964,CHA,HERSM101
1964,CHA,HICKJ105
1964,CHA,HORLJ101
1964,CHA,HOWAB101
1964,CHA,KENWD102
1964,CHA,KREUF101
1964,CHA,LANDJ103
1964,CHA,LONGJ101
1964,CHA,MARTJ107
1964,CHA,MAXWC101
1964,CHA,MCCRT102
1964,CHA,MCNEJ101
1964,CHA,MINOM101
1964,CHA,MOSSD101
1964,CHA,NICHD101
1964,CHA,PETEG101
1964,CHA,PIZAJ101
1964,CHA,ROBIF102
1964,CHA,SKOWB101
1964,CHA,SMITC105
1964,CHA,STAEM101
1964,CHA,STEPG101
1964,CHA,TALBF101
1964,CHA,WARDP102
1964,CHA,WEISA101
1964,CHA,WILHH101
1964,CHN,AMALJ101
1964,CHN,BANKE101
1964,CHN,BERTD101
1964,CHN,BOCCJ101
1964,CHN,BROCL102
1964,CHN,BROGE101
1964,CHN,BUHLB101
1964,CHN,BURDF101
1964,CHN,BURDL101
1964,CHN,BURKL102
1964,CHN,BURTE101
1964,CHN,CAMPR101
1964,CHN,CLEMD101
1964,CHN,COWAB101
1964,CHN,ELLSD101
1964,CHN,ELSTD101
1964,CHN,FLAVJ101
1964,CHN,GABRL102
1964,CHN,GREGL101
1964,CHN,HOBBG101
1964,CHN,JACKL102
1964,CHN,JAECJ101
1964,CHN,KESSD101
1964,CHN,KOONC101
1964,CHN,LANDD101
1964,CHN,MCDAL101
1964,CHN,NORMF101
1964,CHN,OTT-B101
1964,CHN,POPOP101
1964,CHN,RANEM101
1964,CHN,RODGA101
1964,CHN,ROZNV101
1964,CHN,SANTR102
1964,CHN,SCHAJ104
1964,CHN,SCHUW102
1964,CHN,SCOTD102
1964,CHN,SHANB102
1964,CHN,SLAUS101
1964,CHN,SPRIJ102
1964,CHN,STEWJ102
1964,CHN,TOTHP101
1964,CHN,WARNJ104
1964,CHN,WILLB104
1964,CIN,BOROS101
1964,CIN,CARDL101
1964,CIN,COKEJ101
1964,CIN,COLEG101
1964,CIN,DICKJ101
1964,CIN,DURER101
1964,CIN,EDWAJ101
1964,CIN,ELLIS101
1964,CIN,HARPT101
1964,CIN,HELMT101
1964,CIN,HENRB101
1964,CIN,JAY-J101
1964,CIN,JOHND103
1964,CIN,KEOUM101
1964,CIN,KLAUB102
1964,CIN,MALOJ102
1964,CIN,MCCOB105
1964,CIN,NICHC102
1964,CIN,NUXHJ101
1964,CIN,OTOOJ101
1964,CIN,PAVLD101
1964,CIN,PERET001
1964,CIN,PINSV101
1964,CIN,PURKB101
1964,CIN,QUEEM102
1964,CIN,ROBIF103
1964,CIN,ROSEP001
1964,CIN,RUIZC102
1964,CIN,SKINB101
1964,CIN,SMITH106
1964,CIN,TEMPJ101
1964,CIN,TSITJ101
1964,CIN,WORTA101
1964,CLE,ABERT101
1964,CLE,AGEET101
1964,CLE,ALVIM101
1964,CLE,AZCUJ101
1964,CLE,BANKG101
1964,CLE,BELLG102
1964,CLE,BROWL104
1964,CLE,CHANB101
1964,CLE,DAVAV101
1964,CLE,DICKP101
1964,CLE,DONOD101
1964,CLE,FRANT101
1964,CLE,FULLV101
1964,CLE,GRANJ101
1964,CLE,HELDW101
1964,CLE,HOWSD101
1964,CLE,JOHNT001
1964,CLE,KELLT102
1964,CLE,KINDJ101
1964,CLE,KRALJ101
1964,CLE,LUPLA101
1964,CLE,MARTT101
1964,CLE,MCDOS101
1964,CLE,MCMAD102
1964,CLE,MORAB101
1964,CLE,POSTW101
1964,CLE,RAMOP101
1964,CLE,ROMAJ101
1964,CLE,SALMC101
1964,CLE,SEYFG101
1964,CLE,SIEBS101
1964,CLE,SIMSD101
1964,CLE,SMITA102
1964,CLE,STANL101
1964,CLE,TIANL101
1964,CLE,WAGNL101
1964,CLE,WALKJ104
1964,CLE,WHITF103
1964,DET,AGUIH101
1964,DET,BROWG101
1964,DET,BRUTB101
1964,DET,CASHN101
1964,DET,DEMED101
1964,DET,EGAND101
1964,DET,FAULB101
1964,DET,FISHF101
1964,DET,FOX-T101
1964,DET,FREEB103
1964,DET,GLADF102
